"자전거번호","등록일시","고장구분","등록날짜","자전거","년도","일자"
"SPB-18246","2018-06-12 11:24","기타 ","2018-06-12",18246,2018,163
"SPB-18246","2018-09-11 11:28","타이어 ","2018-09-11",18246,2018,254
"SPB-18298","2018-08-15 4:08","기타 ","2018-08-15",18298,2018,227
"SPB-18298","2018-09-23 0:42","페달","2018-09-23",18298,2018,266
"SPB-18346","2018-09-05 23:10","기타 ","2018-09-05",18346,2018,248
"SPB-18346","2018-10-29 22:24","타이어 ","2018-10-29",18346,2018,302
"SPB-18481","2018-12-21 21:47","체인","2018-12-21",18481,2018,355
"SPB-18497","2018-11-24 4:18","단말기","2018-11-24",18497,2018,328
"SPB-18542","2018-07-25 1:16","단말기","2018-07-25",18542,2018,206
"SPB-18542","2018-08-01 3:37","기타 ","2018-08-01",18542,2018,213
"SPB-18560","2018-10-08 7:59","단말기","2018-10-08",18560,2018,281
"SPB-19243","2018-10-23 23:18","체인","2018-10-23",19243,2018,296
"SPB-19415","2018-12-26 0:50","타이어 ","2018-12-26",19415,2018,360
"SPB-00004","2019-05-12 20:27","페달","2019-05-12",4,2019,497
"SPB-00004","2019-05-13 3:20","단말기","2019-05-13",4,2019,498
"SPB-00014","2019-07-23 19:05","페달","2019-07-23",14,2019,569
"SPB-00014","2019-08-21 12:41","안장","2019-08-21",14,2019,598
"SPB-00014","2019-08-29 1:44","단말기","2019-08-29",14,2019,606
"SPB-00015","2019-07-14 18:17","단말기","2019-07-14",15,2019,560
"SPB-00028","2019-07-16 14:08","페달","2019-07-16",28,2019,562
"SPB-00028","2019-09-27 23:40","타이어 ","2019-09-27",28,2019,635
"SPB-00028","2019-11-01 8:05","체인","2019-11-01",28,2019,670
"SPB-00463","2019-09-11 16:42","페달","2019-09-11",463,2019,619
"SPB-00463","2019-10-25 2:13","단말기","2019-10-25",463,2019,663
"SPB-00465","2019-07-22 10:58","타이어 ","2019-07-22",465,2019,568
"SPB-00465","2019-07-24 17:41","안장","2019-07-24",465,2019,570
"SPB-00625","2019-09-17 18:13","안장","2019-09-17",625,2019,625
"SPB-00887","2019-09-23 5:53","타이어 ","2019-09-23",887,2019,631
"SPB-00887","2019-10-01 19:02","타이어 ","2019-10-01",887,2019,639
"SPB-01083","2019-03-29 10:05","안장","2019-03-29",1083,2019,453
"SPB-01083","2019-04-17 13:29","안장","2019-04-17",1083,2019,472
"SPB-01114","2019-06-04 23:06","페달","2019-06-04",1114,2019,520
"SPB-01114","2019-11-13 12:09","안장","2019-11-13",1114,2019,682
"SPB-01160","2019-11-16 3:15","안장","2019-11-16",1160,2019,685
"SPB-01160","2019-11-19 22:41","단말기","2019-11-19",1160,2019,688
"SPB-01272","2019-09-20 9:36","페달","2019-09-20",1272,2019,628
"SPB-01522","2019-06-04 19:52","기타 ","2019-06-04",1522,2019,520
"SPB-01522","2019-08-28 22:53","안장","2019-08-28",1522,2019,605
"SPB-01522","2019-08-29 18:32","체인","2019-08-29",1522,2019,606
"SPB-01522","2019-08-31 16:28","페달","2019-08-31",1522,2019,608
"SPB-01597","2019-03-08 16:24","페달","2019-03-08",1597,2019,432
"SPB-01597","2019-03-10 13:17","페달","2019-03-10",1597,2019,434
"SPB-01680","2019-06-04 18:00","타이어 ","2019-06-04",1680,2019,520
"SPB-01680","2019-10-28 19:25","체인","2019-10-28",1680,2019,666
"SPB-01811","2019-02-14 9:39","타이어 ","2019-02-14",1811,2019,410
