"자전거번호","등록일시","고장구분","등록날짜","자전거"
"SPB-07269","2018-07-05 0:06","기타 ","2018-07-05",7269
"SPB-07269","2019-09-08 13:12","체인","2019-09-08",7269
"SPB-07269","2019-10-08 17:56","타이어 ","2019-10-08",7269
"SPB-07272","2019-06-13 7:30","체인","2019-06-13",7272
"SPB-07272","2019-08-14 22:19","체인","2019-08-14",7272
"SPB-07290","2018-11-15 16:53","체인","2018-11-15",7290
"SPB-07290","2019-12-11 19:49","기타 ","2019-12-11",7290
"SPB-07318","2018-06-28 10:11","단말기","2018-06-28",7318
"SPB-07318","2019-05-10 16:45","단말기","2019-05-10",7318
"SPB-07329","2019-10-14 7:52","체인","2019-10-14",7329
"SPB-07329","2019-10-31 7:20","체인","2019-10-31",7329
"SPB-07329","2019-11-05 19:54","체인","2019-11-05",7329
"SPB-07329","2019-11-12 8:51","체인","2019-11-12",7329
"SPB-07338","2019-10-26 10:50","체인","2019-10-26",7338
"SPB-07338","2019-10-27 17:22","체인","2019-10-27",7338
"SPB-07361","2019-10-24 19:00","타이어 ","2019-10-24",7361
"SPB-07361","2019-10-25 15:20","기타 ","2019-10-25",7361
"SPB-07417","2019-04-16 12:29","기타 ","2019-04-16",7417
"SPB-07417","2019-08-16 16:19","타이어 ","2019-08-16",7417
"SPB-07435","2018-04-29 17:45","기타 ","2018-04-29",7435
"SPB-07435","2019-08-03 18:45","안장","2019-08-03",7435
"SPB-07514","2018-09-12 12:43","타이어 ","2018-09-12",7514
"SPB-07514","2019-01-04 20:24","체인","2019-01-04",7514
"SPB-07518","2018-12-27 8:47","안장","2018-12-27",7518
"SPB-07518","2019-03-19 17:28","타이어 ","2019-03-19",7518
"SPB-07518","2019-04-07 22:16","안장","2019-04-07",7518
"SPB-07524","2019-10-07 23:11","체인","2019-10-07",7524
"SPB-07524","2019-10-11 16:30","체인","2019-10-11",7524
"SPB-07576","2019-05-04 14:48","체인","2019-05-04",7576
"SPB-07576","2019-05-07 22:34","페달","2019-05-07",7576
"SPB-07576","2019-05-13 18:59","체인","2019-05-13",7576
"SPB-07585","2018-11-10 21:24","단말기","2018-11-10",7585
"SPB-07585","2019-09-19 21:31","기타 ","2019-09-19",7585
"SPB-07585","2019-09-30 19:18","단말기","2019-09-30",7585
"SPB-07591","2018-10-11 18:59","타이어 ","2018-10-11",7591
"SPB-07591","2019-09-20 21:02","타이어 ","2019-09-20",7591
"SPB-07657","2018-04-19 20:55","기타 ","2018-04-19",7657
"SPB-07657","2018-10-20 11:26","기타 ","2018-10-20",7657
"SPB-07700","2019-04-01 6:08","단말기","2019-04-01",7700
"SPB-07700","2019-11-19 14:31","기타 ","2019-11-19",7700
"SPB-07721","2019-06-14 2:27","체인","2019-06-14",7721
"SPB-07721","2019-06-30 4:35","기타 ","2019-06-30",7721
"SPB-07803","2018-10-02 21:07","기타 ","2018-10-02",7803
"SPB-07803","2018-10-06 20:25","기타 ","2018-10-06",7803
"SPB-07893","2019-09-15 22:25","안장","2019-09-15",7893
"SPB-07893","2019-09-23 19:23","기타 ","2019-09-23",7893
"SPB-07916","2018-12-05 14:02","타이어 ","2018-12-05",7916
"SPB-07916","2018-12-09 12:00","타이어 ","2018-12-09",7916
"SPB-07940","2018-10-13 22:22","체인","2018-10-13",7940
"SPB-07940","2018-10-21 21:28","체인","2018-10-21",7940
"SPB-07940","2018-10-26 23:39","타이어 ","2018-10-26",7940
"SPB-07969","2018-09-07 19:45","체인","2018-09-07",7969
"SPB-07969","2018-09-08 23:35","체인","2018-09-08",7969
"SPB-08000","2019-06-08 17:59","기타 ","2019-06-08",8000
"SPB-08000","2019-06-19 23:44","단말기","2019-06-19",8000
"SPB-08060","2019-10-08 18:19","타이어 ","2019-10-08",8060
"SPB-08060","2019-12-29 2:52","타이어 ","2019-12-29",8060
"SPB-08149","2018-09-13 9:46","기타 ","2018-09-13",8149
"SPB-08149","2018-10-27 23:10","체인","2018-10-27",8149
"SPB-08152","2018-05-27 20:45","안장","2018-05-27",8152
"SPB-08152","2018-11-06 1:06","단말기","2018-11-06",8152
"SPB-08154","2018-04-09 15:32","기타 ","2018-04-09",8154
"SPB-08154","2019-04-07 19:07","단말기","2019-04-07",8154
"SPB-08159","2019-06-03 8:17","타이어 ","2019-06-03",8159
"SPB-08159","2019-11-09 21:11","페달","2019-11-09",8159
"SPB-08162","2019-09-05 22:30","단말기","2019-09-05",8162
"SPB-08162","2019-09-08 21:11","타이어 ","2019-09-08",8162
"SPB-08178","2018-09-06 11:04","안장","2018-09-06",8178
"SPB-08178","2018-10-20 14:07","페달","2018-10-20",8178
